year,active listen,goal,decision,accountability,decision make,creativity,analytical,curiosity,communication,detail,optimism,diverse,strategic think,commitment,enthusiasm,problem solve,critical think,integrity,coordination,passion,presentation,initiative,conceptual,flexibility,leadership,ethic,argumentation,adaptive,mentor,impartiality,motivate,emotional intelligence,self confidence,coach,oral communication,eagerness,negotiation,speak,influence,hospitality,kindness,conflict management,social skill,persuasion,interpersonal communication,self organize
2012,7.015836186493726,6.581416664955165,5.682216230867653,5.288146942528518,5.245536021997882,4.69920753132454,2.9539441583166655,2.7720012415657296,3.114191768465811,2.3251062917078285,3.5557461887710717,2.9488549673204134,2.013902016185836,2.738525121642776,2.5760855124087763,2.9168947278332,2.1296333716390863,2.043152825984016,3.1155342542970974,2.1223186112516226,2.1222524406499135,2.687317931351714,1.6873271942515409,1.537395443266436,1.9169488984845429,1.5901956112251632,0.9615664088503952,0.5733885560570317,0.7019273387240871,0.9402714690676849,0.5098286092763529,0.739700380985909,0.6595781749716912,0.30496431810217406,0.5619019437842458,0.6206454024433841,0.6887362393668828,0.5080118151695381,0.125030246957242,0.24206501203956687,0.13565497747978655,0.0,0.06553316242428445,0.0,0.0,0.0
2013,18.87160142162338,16.362967971299803,14.719389522609678,14.495104960938036,13.324121748478497,11.33397132617187,8.417203629153233,8.043272087570163,7.066911458661639,5.540286348165453,9.257095015638109,6.9993385739121985,5.866607474717128,7.166819173533625,6.591499080081369,6.29047063422147,5.826033359372212,5.678404621221409,6.921747764646002,4.9620242865277975,6.932954437783392,5.681902609590208,4.839000451124995,3.9255144745015262,4.609101765823694,2.904773413146871,3.6028292616583126,2.271504013658508,1.571052223323638,2.9543930660456077,2.282896498191462,1.844462308879569,1.6923336109156015,0.9263940459771224,1.7140820480535077,1.3961356323297802,1.188690726914979,1.399235960342104,0.8382339991661246,0.5416396320042062,0.1824695860160901,0.09357549547069968,0.26052018939756383,0.04140115445575481,0.0,0.0
2014,19.609159367137597,16.623229384411786,14.814527412040604,17.301819726323405,13.493618557377108,11.304134816634118,8.839863485975265,9.494524860140222,8.649410083380358,7.040781898295693,8.938323444685324,7.6126918781156325,6.684688174906944,6.59146657240869,7.534552962134348,6.911002765816826,7.07433431124888,6.948370596551443,7.957809161214185,4.51256811035094,6.371815759773123,6.268034505266055,5.088829211798617,4.214840873055772,4.690797222567735,3.4123202413416895,3.746670137264252,2.787595537429079,1.971077531946349,3.145092293612833,2.0291636574463667,2.030694196095239,2.0231975187797366,0.6187301658136065,2.026834052148622,1.3024884579209177,2.284338634779641,1.4377294690299545,1.0584414672982552,0.9653661416101269,0.4673873670454375,0.340164229544913,0.18346243762843764,0.05578784595132993,0.06691592283185936,0.0
2015,23.21045851401811,18.863679193233786,16.23025575167232,18.94140718459846,14.806262318966361,13.284320287103098,10.073015412321757,10.121263332440513,10.601701825870304,8.967726803222963,12.700274659871392,8.356550810702732,7.028909630831025,7.846544690478755,8.763686970702024,8.428106283467033,6.923429163431257,7.558899872387437,7.2698325750111525,5.780038008700131,7.430136612831197,7.283107205639112,5.607144512754185,5.825881730812294,5.307577705360645,4.840340955146604,3.8336625221245315,3.51810056051893,2.288975677814422,3.3416135412888393,2.5497392196059896,2.385593123864496,1.7442963973340742,1.0054924233179945,1.9165532273480776,1.5502139962430272,1.90972777753586,1.218875046487097,0.8691390198353999,1.0735185629162707,0.711596931069553,0.14637123704168534,0.05372370090742292,0.0,0.08379613750771486,0.0
2016,27.303305522264484,19.654787578125845,16.964888687212426,19.969392274287866,15.769657883118427,13.963328605385515,11.011923091095193,9.868861424469468,10.33420180597955,9.983726960613978,11.891047358470757,8.360459994315837,8.220759588726468,8.415770816695147,9.25887661020672,9.093815467955208,7.962522977736512,8.704869053269926,8.655035591810586,8.623161608043075,7.023984848185851,6.827201612264546,6.221780783101574,5.586517016338543,4.874507986196398,4.85436611412291,4.132873480168331,4.280229975853415,2.5658613241858528,3.396077149207454,2.879595674074575,2.7909618186074576,1.9217590742561033,2.0342849490807424,2.2973347932218964,1.9055013486433194,1.6632220230626449,1.326190988114953,1.3346999936880206,1.6484603229401444,0.750241538887699,0.14039774252525972,0.07859669441343806,0.08092269232753035,0.1940284095858157,0.0
2017,27.051079797940854,21.969446625988564,21.07907350046151,20.91811236141267,19.781934668863638,15.413236950191939,12.21057569510102,11.757710948396273,12.76910158426988,10.921867705861267,11.047845126579762,10.144779005471158,10.432002462091678,9.78009197387691,11.343140688255854,9.487328166816303,9.3306547455323,9.170651001549128,9.933348915920044,9.63633791644476,8.456501542032594,9.098290220087227,6.966878705874397,5.675069663318718,6.241403889169875,5.493864396053568,5.36937793113578,4.593395658221903,3.5050626143882253,3.8361328156348975,2.495588043692463,2.6443207416407573,2.0279535515818434,2.8895817945678632,2.5740417473208486,1.8832972136058779,1.53359027268898,2.0356863910044267,1.0603181217172482,2.331165937992752,1.0956564324147577,0.2358369253251219,0.08199255541639483,0.145285014536998,0.0,0.0
2018,31.567879944291462,25.630134626512845,25.578494685707238,23.744461766398793,23.965830766457245,19.38187178912982,14.300862648159857,14.701139927226867,14.062037767828484,13.549149626623949,10.428858424875754,12.030605148409911,13.673836856592995,11.373539421774513,13.09018721929334,12.34863177564706,11.17900149257741,10.727214598788082,11.088120357775194,11.974156589483348,10.89861586897329,9.680005105462135,9.48456120222683,7.421349513280746,7.907236538799349,7.23387378377592,6.317322695705406,6.1947848760796385,4.754118985961858,4.43985771792236,2.875801129096962,3.19144169733629,2.2451387008031696,4.600696294770744,2.907482543664768,2.5860657261506104,2.2774267181960437,2.562906124490075,1.9201168970910276,1.2458705996138422,1.8439396754936013,0.24799178847106745,0.07719468981487602,0.25007829773042745,0.06630002958758102,0.0
2019,33.36135691745268,25.504441081058168,28.88295540204571,24.481399155331847,26.486308153366018,22.71357969118281,17.87662045280723,16.443022421232723,14.467266109348225,14.78297851133575,11.374402100525245,14.0187322918914,16.120055931066677,14.504166599205925,12.068489411910559,13.177772097431959,13.290392764984807,12.846041846241075,11.51818447728941,12.707677831328565,11.411697851456305,10.473417585162077,9.523886679771444,10.08826387897994,8.993188002698473,8.237875775304273,6.432890223266665,6.963325722480766,5.558175210939606,4.734373433512296,3.874665191347363,3.4704685533418385,3.973217287092756,4.14922117423382,3.0403039968317596,3.0981645843079804,2.713901829202671,2.9484077450810875,2.555668580345718,1.6945098236041962,1.7820853979085343,0.32107161628862024,0.298343292965598,0.2569006255893889,0.1593673864056993,0.0
2020,26.559996146947512,20.674426683975796,19.99612729797051,18.039922666946563,18.496869358797078,16.22586690044668,11.444861932306463,12.015149039049811,10.432633603556111,10.889760131857638,9.928567876021617,10.261941683623139,11.733065949226242,10.81671293263641,9.48243050568889,10.413235284608753,10.029125947244758,9.455692666763861,8.141712859784759,10.280731314684523,9.161790904446722,7.9512498134477125,7.322671464153669,7.415990468061913,6.599665133693657,5.094899795579865,4.819561885147617,5.3279961834411464,5.313193172040891,3.5697840547989266,2.7884917681735533,2.3157444692940548,3.50906024645855,2.5690091882441854,2.282702598702646,2.6535796168545795,2.166060124020896,2.4323461718799178,1.8516770657173551,1.2451038434298216,1.1991014780154787,0.3447435738316342,0.14175619016760277,0.13121952384802227,0.05361826256935418,0.04158582358259815
2021,28.803506370140767,25.36457795265275,23.90198863748102,22.342751439388646,22.421017583509578,17.665870170213676,15.972773513614566,13.796573916968867,11.342394979003307,13.576505087094414,11.173954073387305,13.794415151768398,14.282955007924052,13.115243850931426,10.44638106701944,11.835076553616066,13.574524733606873,12.412616726096195,10.987299375605048,11.280327492275571,10.418673683517778,10.036801308128826,7.754710453692018,8.683612614845313,8.226225505652712,7.587516638717992,5.119108476447126,5.957044281180889,5.967599683499376,4.372085259969788,3.120709226557436,2.8466976852054033,3.161141994190358,3.2708351414066,2.5805116046927887,2.857892262008286,2.2630650728993174,2.4744558499793676,2.3065275842208566,1.062955293017628,1.7745122115480927,0.6004815585715542,0.14830253328981036,0.0448068398349526,0.05687693695178823,0.15068356583025116
2022,30.77194105281709,26.052882938020485,26.216688943895484,23.512616409451336,24.799821309378274,18.9325386746859,15.114423673535079,14.606671087386978,13.207454298619467,14.43816659092233,11.959344014895288,14.850695874639529,13.157940581012827,14.01993598252585,12.969167610039163,12.406100512266518,13.269025928747416,13.294711743445399,11.766980683680263,12.376703997591507,11.807807834002082,10.346609092463469,8.770440050732914,9.52725871679435,7.777387639425805,8.219943878039517,6.280499770939013,6.302194643802135,6.864855319766185,3.537645626022784,3.501983108446073,3.53655578204666,3.355412504071304,3.124445320144333,3.0214374358062144,3.2849083365271086,2.4835020234048892,2.1327824628378944,2.0772320968101705,1.1074729242832897,2.0788194910073936,0.37975463439262774,0.29586290978814644,0.09949873136250942,0.05386459933754739,0.0
2023,15.567367825948535,14.774966611244073,13.646769290020053,12.215370989636314,12.893899049915769,10.304986081870645,7.563932168721771,7.75174866888276,6.643337539615375,7.996062907200001,6.586676739873204,8.66547640355031,7.241773920070264,8.016199494851932,6.70455469153671,6.650740503597418,6.510205308619257,6.826114558778567,6.885680168337014,6.0014842083453805,6.090159187693179,5.192365723528297,4.830637587642477,5.140674078045834,4.121205483084451,4.843416798472462,3.5931744747283254,3.92282085570489,4.118900124385441,1.8968233975721036,2.2927717968348866,2.1120746543848736,1.8795868647336518,1.655155777156627,1.6114436061049071,1.7830126030905806,1.2320542246047408,0.9202941538808824,0.7687977237462424,0.46827702215163963,0.9527438232613826,0.14959459857920213,0.061752705676556656,0.039272829061780104,0.08220881613261447,0.12071547825850817
