year,,active listen,goal,accountability,decision,decision make,creativity,curiosity,analytical,diverse,commitment,detail,communication,optimism,strategic think,enthusiasm,critical think,integrity,problem solve,presentation,coordination,passion,initiative,conceptual,flexibility,leadership,ethic,argumentation,adaptive,mentor,impartiality,motivate,self confidence,emotional intelligence,oral communication,coach,eagerness,negotiation,speak,influence,hospitality,kindness,conflict management,social skill,persuasion,interpersonal communication,self organize
2012,term_frequency,0.005193962019152735,0.004666450251582535,0.0037534491154033434,0.0037331602012660283,0.0033273819185197207,0.0027187144944002596,0.001420223989612076,0.001450657360818049,0.0014912351890926797,0.0013796461613374451,0.0010448790780717416,0.0014810907320240221,0.001582535302710599,0.0008115565654926148,0.0012173348482389223,0.0009231455932478494,0.000902856679110534,0.0013695017042687876,0.0009637234215224801,0.0013086349618568415,0.0009332900503165071,0.0011666125628956338,0.0006695341665314072,0.0005883785099821458,0.0006898230806687226,0.0005579451387761727,0.00032462262619704593,0.00018260022723583835,0.00019274468430449603,0.0002840447979224152,0.0001318779418925499,0.00017245577016718064,0.0002028891413731537,0.00015216685602986529,7.10111994806038e-05,0.00019274468430449603,0.0002028891413731537,0.00016231131309852296,2.028891413731537e-05,4.057782827463074e-05,3.0433371205973056e-05,0.0,1.0144457068657685e-05,0.0,0.0,0.0
2013,term_frequency,0.005491276149340842,0.004305543216035756,0.004134688326510528,0.0037041340049069524,0.003256494194350854,0.0023988026489342074,0.0015650307880510925,0.0016128701571181563,0.0012540748891151767,0.0014112613874783869,0.0009157822078552244,0.0011925671288860946,0.0016436240372326976,0.0010114609459893522,0.0011310593686570123,0.0009567873813412793,0.0009670386747127929,0.0009772899680843066,0.0012779945736487086,0.0010934712929614619,0.000744927318329996,0.000919199305645729,0.0007380931227489869,0.0005501527442712355,0.0006868366558914183,0.00039638334369852997,0.00048522788625164875,0.00031095589893591574,0.00016060359615371474,0.000372463659164998,0.00025286523649733806,0.00015718649836321015,0.00021186006301128325,0.000174271987315733,8.542744476261421e-05,0.00014351810720119188,0.00013326681382967818,0.00015035230278220103,9.226164034362336e-05,4.442227127655939e-05,1.3668391162018275e-05,6.8341955810091375e-06,1.7085488952522842e-05,3.4170977905045687e-06,0.0,0.0
2014,term_frequency,0.005250558570060645,0.004095116501755506,0.004458984998404085,0.003201404404723907,0.002815193105649537,0.0021481008617938078,0.0016916693265240984,0.0014969677625279285,0.0013054580274497287,0.0011362910947973189,0.0011522502393871688,0.0014235556974146186,0.0013852537503989786,0.001043728056176189,0.0012671560804340888,0.001155442068305139,0.0010533035429300989,0.001027768911586339,0.001002234280242579,0.0012607724225981488,0.0006255984679221193,0.000928822215129269,0.0006990105330354293,0.0005681455473986594,0.0006287902968400893,0.0004181295882540696,0.00042770507500797955,0.0003191828917969997,0.0002074688796680498,0.0003606766677306096,0.0001915097350781998,0.00021385253750398977,0.0001947015639961698,0.0001915097350781998,5.106926268751995e-05,0.0001053303542930099,0.00022981168209383978,0.00014682413022661984,9.256303862112991e-05,8.937120970315992e-05,3.8301947015639964e-05,1.9150973507819982e-05,9.575486753909991e-06,3.191828917969997e-06,3.191828917969997e-06,0.0
2015,term_frequency,0.005429001036320704,0.004134287371456374,0.004472397309414575,0.0031144598350133458,0.0027351169777919495,0.0021523583855387906,0.0015311157353066491,0.0015778463771382704,0.0012534807456011348,0.0012094989650537264,0.0013524397518328032,0.0016163304351172526,0.0018334904765700808,0.0009511060043377031,0.0012342387166116436,0.0009675991720429812,0.0010473161492851586,0.0011517728780852533,0.0010198275364430285,0.0009428594204850641,0.0007064573500427448,0.0010033343687377504,0.0006597267082111236,0.0007037084887585317,0.0006377358179374195,0.0005415256729899639,0.00037659399593718303,0.000365598550800331,0.00019242028989491103,0.0003408587992424138,0.0002254066253054672,0.00015393623191592881,0.00019791801246333706,0.00015943395448435487,7.971697724217743e-05,0.00013469420292643773,0.00016218281576856788,9.071242237902949e-05,6.322380953689934e-05,9.621014494745552e-05,5.4977225684260294e-05,8.246583852639045e-06,2.7488612842130146e-06,0.0,2.7488612842130146e-06,0.0
2016,term_frequency,0.005996215260169942,0.0039059504520661463,0.0042893718073987955,0.0029263707313453144,0.002597370471608267,0.0020655279464694316,0.0013605273898900446,0.0014619485225909389,0.0010760534810948534,0.001251685198698841,0.0013258957836019343,0.0013135273527847522,0.001568317027618706,0.00107852716725829,0.0011601588106516926,0.00100184289619176,0.0011082114012195272,0.0011280008905270188,0.0008657901572027557,0.00107852716725829,0.0010810008534217264,0.0008460006678952641,0.0007223163597234419,0.0006901584395987682,0.0005318425251388357,0.0005664741314269459,0.00040321084464014053,0.0004526845679088694,0.0002102633238920978,0.0002968423396123734,0.00022510544087271647,0.0001434737974793138,0.00020284226540178847,0.0001706843452771147,0.00015089485596962314,0.0001212106220083858,0.00014100011131587734,9.89474465374578e-05,9.89474465374578e-05,0.00011873693584494936,3.9578978614983116e-05,7.421058490309335e-06,2.4736861634364448e-06,4.9473723268728895e-06,7.421058490309335e-06,0.0
2017,term_frequency,0.005404809177145378,0.0041385395984998895,0.0038914626075446726,0.0035539377895433487,0.003212000882417825,0.002267813809838959,0.001557467460842709,0.001557467460842709,0.001244209133024487,0.0012949481579527906,0.0013743657621883962,0.0016214427531436135,0.0012397970439002868,0.0012530333112728876,0.0014074564306198985,0.001171409662475182,0.001087579969115376,0.0010500772115596736,0.000957423339951467,0.001098610191925877,0.0011603794396646812,0.0011118464592984778,0.0007103463489962497,0.0005669534524597397,0.0006706375468784469,0.0005625413633355393,0.00047209353628943304,0.0004103242885506287,0.0002757555702625193,0.0003132583278182219,0.00017648356496801235,0.00013677476285020958,0.0001786896095301125,0.0001698654312817119,0.00021398632252371498,0.00012353849547760864,9.927200529450695e-05,0.0001500110302228105,6.838738142510479e-05,0.00015883520847121113,6.397529230090448e-05,1.1030222810500772e-05,4.4120891242003085e-06,6.6181336863004636e-06,0.0,0.0
2018,term_frequency,0.005369373688071529,0.004149144023416788,0.003927614233107446,0.0038404549713463927,0.0034754755627219836,0.002616593670784942,0.001739553599314347,0.0015924723450925703,0.001367310918876517,0.0013128363802758591,0.00148897072175132,0.00145447018063757,0.0009641993332316476,0.0015361819885385572,0.001394548188176846,0.0012964940186956616,0.0011167280413134902,0.0012002556671678324,0.0011494127644738848,0.0010114106000188845,0.0013219154700426354,0.0009079089766776342,0.0008697767996571735,0.0006609577350213177,0.000811670625149805,0.0006700368247880941,0.0004975341192193436,0.0005084290269394752,0.0003540845009042773,0.00031776814183717196,0.00017431852352210576,0.0001434496183150662,0.0001833976132888821,0.00016887106966203996,0.00029053087253684296,0.00015071289012848728,0.00012892307468822406,0.00015979197989526362,0.00012165980287480299,6.35536283674344e-05,0.0001035016233412503,9.079089766776343e-06,1.8158179533552683e-06,1.089490772013161e-05,1.8158179533552683e-06,0.0
2019,term_frequency,0.0052569367168698875,0.0035681064482467172,0.0035586628493541367,0.003934832871908598,0.0034264524648580075,0.002779565940716234,0.0018257624525655897,0.0019264941740864498,0.0016006900122924178,0.0016919781349206975,0.0014826450261351599,0.0013724697057217192,0.000985282151125913,0.0016935520680694607,0.0011521190648948376,0.001392930836655644,0.0012355375217793,0.0011773019952750526,0.0010498134102252142,0.0009128812262827948,0.001232389655481773,0.0008876982959025798,0.0007602097108527412,0.0008688110981174185,0.0007287310478774724,0.0006673476550756983,0.0004517188136951071,0.0004989368081580103,0.0003856136214470427,0.00028645583307494596,0.0002046113093392471,0.00027386436788483844,0.0001872980447028493,0.00015267151543005362,0.0002534032369509137,0.00015896724802510738,0.00015267151543005362,0.00016054118117387082,0.0001243407187523117,7.869665743817197e-05,8.499239003322573e-05,1.1017532041344076e-05,9.443598892580636e-06,7.869665743817196e-06,4.721799446290318e-06,0.0
2020,term_frequency,0.005553516720363503,0.003860495011161778,0.0036192140729641668,0.003554331803869011,0.0030879904947475776,0.002572987483804777,0.0017173525601124086,0.0014740440510055738,0.0014862094764609155,0.0016585530037449235,0.0014436304873672195,0.0012996729528123422,0.0012023495491696084,0.0015510917455560714,0.0011982944073511612,0.0014010514982735233,0.0011435499928021233,0.0012084322618972792,0.0010847504364346382,0.0008617176364200397,0.001301700523721566,0.0008678003491477106,0.000752228807321964,0.0008353592146001326,0.0007238428145928333,0.0005170305818520238,0.00041970717820928995,0.0005596095709457199,0.000494727301850564,0.00028994264001897804,0.00019464680728546778,0.00028994264001897804,0.00016220567273788982,0.00016220567273788982,0.00018450895273934968,0.0001784262400116788,0.00013787482182720635,0.0001703159563747843,0.00012976453819031186,7.907526545972129e-05,7.907526545972129e-05,1.6220567273788982e-05,6.082712727670868e-06,6.082712727670868e-06,2.0275709092236227e-06,2.0275709092236227e-06
2021,term_frequency,0.005147869401309253,0.004220708521033793,0.003943410863263334,0.003676320481239027,0.0032527185377737252,0.0023851000993508173,0.0017233283884753052,0.0018492181226778448,0.0018066878070688787,0.0017267308137240225,0.0016110483552676347,0.0011159954815792698,0.001185745199177974,0.001656981096125318,0.001071763953345945,0.001656981096125318,0.00136607373735999,0.0011534221593151599,0.0011074894184574765,0.0010207275746151856,0.00119084883705105,0.00095267906964084,0.0006481620098806429,0.0008165820596921485,0.0007995699334485621,0.0006702777739973053,0.0003963825414755638,0.0004831443853178546,0.0004695346843229854,0.0003113219102576316,0.0001871333886794507,0.00021435279066918899,0.00017522490030894022,0.00015310913619227785,0.00021605400329354765,0.00016842004981150563,0.00013779822257305006,0.0001514079235679192,0.00013949943519740872,5.95424418525525e-05,0.00011228003320767042,2.2115764116662357e-05,5.103637873075928e-06,1.7012126243586428e-06,1.7012126243586428e-06,5.103637873075928e-06
2022,term_frequency,0.0050743570783008795,0.004200147892531427,0.003984882096787446,0.0037844055541861803,0.003404814723523129,0.002409005011913565,0.0017286993673486155,0.0016268178456987923,0.001824007887601676,0.0017237696163010434,0.0016301043463971736,0.0013408922849396105,0.0012406540136389779,0.0012768055213211733,0.0014362008051926711,0.0015660175827787364,0.0014887848163667734,0.0011683509982745872,0.0011897132528140661,0.0010516802234820475,0.0012768055213211733,0.0009662312053241311,0.0007476789088817681,0.000879138936817024,0.0006901651466600936,0.0007509654095801496,0.00048311560266206554,0.00046339659847177716,0.0005685646208199819,0.0002169090460931723,0.0002119792950456002,0.0002103360446964095,0.00019226029085531182,0.00016596828526826063,0.00018404403910935832,0.000202119792950456,0.00012488702653849315,0.00011667077479253965,0.00011831402514173034,5.0940760824911675e-05,0.00011174102374496754,1.3146002793525594e-05,9.859502095144195e-06,3.2865006983813986e-06,1.6432503491906993e-06,0.0
2023,term_frequency,0.004936456917190541,0.0044727769383873395,0.0036495084045939014,0.003643199833453722,0.0033088455630242027,0.00239725703326825,0.0016591542098672361,0.00143519993439086,0.0019461941967454082,0.0018389484873623549,0.0017348570635493915,0.001258559942465831,0.001356342795138615,0.0013500342239984354,0.0013058742260171783,0.0013374170817180763,0.00143835421996095,0.0011260799485220594,0.001148159947512688,0.0011607770897930473,0.0011103085206716104,0.000943131385456851,0.0007254856811206546,0.0008737371029148753,0.0006687085408590382,0.0008421942472139773,0.0005204571190648175,0.000574079973756344,0.0006150856861675115,0.00021449141876610657,0.0002586514167473638,0.0002365714177567352,0.00023026284661655557,0.00017663999192502893,0.00019556570534556776,0.00018610284863529835,0.0001261714228035921,9.462856710269407e-05,6.623999697188585e-05,3.785142684107763e-05,8.831999596251447e-05,6.308571140179605e-06,3.1542855700898024e-06,3.1542855700898024e-06,3.1542855700898024e-06,9.462856710269407e-06
